birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Saginaw, MI, USA",Right-handed (two-handed backhand),"Williams, Serena",155,http://www.wtatennis.com/players/player/9044/title/serena-williams,USA,1.75,26-Sep-81,1,1,"Palm Beach Gardens, FL, USA",16,8625
"Krakow, Poland",Right-handed (two-handed backhand),"Radwanska, Agnieszka",123,http://www.wtatennis.com/players/player/11530/title/agnieszka-radwanska,POL,1.73,06-Mar-89,2,2,"Krakow, Poland",22,5775
"Bremen, Germany",Left-handed (two-handed backhand),"Kerber, Angelique",150,http://www.wtatennis.com/players/player/10768/title/angelique-kerber,GER,1.73,18-Jan-88,3,3,"Puszczykowo, Poland",23,5740
"Caracas, Venezuela",Right-handed (two-handed backhand),"Muguruza, Garbiñe",161,http://www.wtatennis.com/players/player/15292/title/garbine-muguruza,ESP,1.82,08-Oct-93,4,4,"Geneva, Switzerland",20,4876
"Minsk, Belarus",Right-handed (two-handed backhand),"Azarenka, Victoria",154,http://www.wtatennis.com/players/player/11289/title/victoria-azarenka,BLR,1.83,31-Jul-89,5,5,"Monte Carlo, Monaco",15,4530
"Bilovec, Czech Republic",Left-handed (two-handed backhand),"Kvitova, Petra",154,http://www.wtatennis.com/players/player/13403/title/petra-kvitova,CZE,1.82,08-Mar-90,6,7,"Monte Carlo, Monaco",18,3947
"Constanta, Romania",Right-handed (two-handed backhand),"Halep, Simona",132,http://www.wtatennis.com/players/player/13516/title/simona-halep,ROU,1.68,27-Sep-91,7,6,"Constanta, Romania",19,3660
"Taranto, Italy",Right-handed (one-handed backhand),"Vinci, Roberta",132,http://www.wtatennis.com/players/player/8754/title/roberta-vinci,ITA,1.63,18-Feb-83,8,8,"Taranto, Italy",28,3615
"Nyagan, Russia",Right-handed (two-handed backhand),"Sharapova, Maria",130,http://www.wtatennis.com/players/player/9499/title/maria-sharapova,RUS,1.88,19-Apr-87,9,9,"Bradenton, FL, USA",14,3431
"Flawil, Switzerland",Right-handed (two-handed backhand),"Bencic, Belinda",139,http://www.wtatennis.com/players/player/18911/title/belinda-bencic,SUI,1.75,10-Mar-97,10,10,"Wollerau, Switzerland",24,3340
"Las Palmas de Gran Canaria, Spain",Right-handed (one-handed backhand),"Suárez Navarro, Carla",137,http://www.wtatennis.com/players/player/10661/title/carla-suarez-navarro,ESP,1.62,03-Sep-88,11,11,"Barcelona, Spain",24,3160
"Brindisi, Italy",Right-handed (two-handed backhand),"Pennetta, Flavia",128,http://www.wtatennis.com/players/player/6578/title/flavia-pennetta,ITA,1.72,25-Feb-82,12,12,"Brindisi, Italy",17,3033
"St. Petersburg, Russia",Right-handed (two-handed backhand),"Kuznetsova, Svetlana",161,http://www.wtatennis.com/players/player/4467/title/svetlana-kuznetsova,RUS,1.74,27-Jun-85,13,13,"Dubai, UAE",20,3010
"Lynwood, CA, USA",Right-handed (two-handed backhand),"Williams, Venus",160,http://www.wtatennis.com/players/player/9027/title/venus-williams,USA,1.85,17-Jun-80,14,14,"Palm Beach Gardens, FL, USA",18,2941
"Lausanne, Switzerland",Right-handed (two-handed backhand),"Bacsinszky, Timea",137,http://www.wtatennis.com/players/player/10874/title/timea-bacsinszky,SUI,1.7,08-Jun-89,15,16,"Belmont-sur-Lausanne, Switzerland",17,2735
"Brno, Czech Republic",Left-handed (two-handed backhand),"Safarova, Lucie",137,http://www.wtatennis.com/players/player/9869/title/lucie-safarova,CZE,1.77,04-Feb-87,16,15,"Monte Carlo, Monaco",20,2714
"Odessa, Ukraine",Right-handed (two-handed backhand),"Svitolina, Elina",132,http://www.wtatennis.com/players/player/15788/title/elina-svitolina,UKR,1.74,12-Sep-94,17,17,"Kharkiv, Ukraine",26,2700
"Louny, Czech Republic",Right-handed (two-handed backhand),"Pliskova, Karolina",159,http://www.wtatennis.com/players/player/13184/title/karolina-pliskova,CZE,1.86,21-Mar-92,18,18,"Monte Carlo, Monaco",25,2590
"Belgrade, Serbia",Right-handed (two-handed backhand),"Ivanovic, Ana",152,http://www.wtatennis.com/players/player/10999/title/ana-ivanovic,SRB,1.84,06-Nov-87,19,19,"Bern, Switzerland",20,2585
