"","gender","current_rank","previous_rank","name","plays","height","weight","date_of_birth","country","birthplace","residence","tournaments","points","url"
"1","female",1,1,"Williams, Serena","Right",175,155,"1981-09-26","USA","Saginaw, MI, USA","Palm Beach Gardens, FL, USA",16,8625,"http://www.wtatennis.com/players/player/9044/title/serena-williams"
"2","female",2,2,"Radwanska, Agnieszka","Right",173,123,"1989-03-06","POL","Krakow, Poland","Krakow, Poland",22,5775,"http://www.wtatennis.com/players/player/11530/title/agnieszka-radwanska"
"3","female",3,3,"Kerber, Angelique","Left",173,150,"1988-01-18","GER","Bremen, Germany","Puszczykowo, Poland",23,5740,"http://www.wtatennis.com/players/player/10768/title/angelique-kerber"
"4","female",4,4,"Muguruza, Garbiñe","Right",182,161,"1993-10-08","ESP","Caracas, Venezuela","Geneva, Switzerland",20,4876,"http://www.wtatennis.com/players/player/15292/title/garbine-muguruza"
"5","female",5,5,"Azarenka, Victoria","Right",183,154,"1989-07-31","BLR","Minsk, Belarus","Monte Carlo, Monaco",15,4530,"http://www.wtatennis.com/players/player/11289/title/victoria-azarenka"
"6","female",6,7,"Kvitova, Petra","Left",182,154,"1990-03-08","CZE","Bilovec, Czech Republic","Monte Carlo, Monaco",18,3947,"http://www.wtatennis.com/players/player/13403/title/petra-kvitova"
"7","female",7,6,"Halep, Simona","Right",168,132,"1991-09-27","ROU","Constanta, Romania","Constanta, Romania",19,3660,"http://www.wtatennis.com/players/player/13516/title/simona-halep"
"8","female",8,8,"Vinci, Roberta","Right",163,132,"1983-02-18","ITA","Taranto, Italy","Taranto, Italy",28,3615,"http://www.wtatennis.com/players/player/8754/title/roberta-vinci"
"9","female",9,9,"Sharapova, Maria","Right",188,130,"1987-04-19","RUS","Nyagan, Russia","Bradenton, FL, USA",14,3431,"http://www.wtatennis.com/players/player/9499/title/maria-sharapova"
"10","female",10,10,"Bencic, Belinda","Right",175,139,"1997-03-10","SUI","Flawil, Switzerland","Wollerau, Switzerland",24,3340,"http://www.wtatennis.com/players/player/18911/title/belinda-bencic"
