birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Novak Djokovic,172,http://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,SRB,188,1987.05.22,1,1,"Monte-Carlo, Monaco",17,15550
"Glasgow, Scotland","Right-Handed, Two-Handed Backhand",Andy Murray,185,http://www.atpworldtour.com/en/players/andy-murray/mc10/overview,GBR,191,1987.05.15,2,2,"London, England",19,8175
"Basel, Switzerland","Right-Handed, One-Handed Backhand",Roger Federer,187,http://www.atpworldtour.com/en/players/roger-federer/f324/overview,SUI,185,1981.08.08,3,3,Switzerland,17,7785
"Lausanne, Switzerland","Right-Handed, One-Handed Backhand",Stan Wawrinka,179,http://www.atpworldtour.com/en/players/stan-wawrinka/w367/overview,SUI,183,1985.03.28,4,4,"St. Barthelemy, Switzerland",23,6460
"Manacor, Mallorca, Spain","Left-Handed, Two-Handed Backhand",Rafael Nadal,188,http://www.atpworldtour.com/en/players/rafael-nadal/n409/overview,ESP,185,1986.06.03,5,5,"Manacor, Mallorca, Spain",23,5915
"Shimane, Japan","Right-Handed, Two-Handed Backhand",Kei Nishikori,165,http://www.atpworldtour.com/en/players/kei-nishikori/n552/overview,JPN,178,1989.12.29,6,6,"Bradenton, Florida, USA",21,4290
"Le Mans, France","Right-Handed, Two-Handed Backhand",Jo-Wilfried Tsonga,200,http://www.atpworldtour.com/en/players/jo-wilfried-tsonga/t786/overview,FRA,188,1985.04.17,7,7,"Gingins, Switzerland",21,3400
"Valasske Mezirici, Czech Repub","Right-Handed, Two-Handed Backhand",Tomas Berdych,200,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,196,1985.09.17,8,9,"Monte-Carlo, Monaco",22,3120
"Javea, Spain","Right-Handed, Two-Handed Backhand",David Ferrer,160,http://www.atpworldtour.com/en/players/david-ferrer/f401/overview,ESP,175,1982.04.02,9,8,"Valencia, Spain",19,3010
"Beziers, France","Right-Handed, One-Handed Backhand",Richard Gasquet,165,http://www.atpworldtour.com/en/players/richard-gasquet/g628/overview,FRA,185,1986.06.18,10,10,"Neuchâtel, Switzerland",21,2840
"Podgorica, Montenegro","Right-Handed, Two-Handed Backhand",Milos Raonic,216,http://www.atpworldtour.com/en/players/milos-raonic/r975/overview,CAN,196,1990.12.27,11,11,"Monte Carlo, Monaco",17,2740
"Medjugorje, Bosnia and Herzego","Right-Handed, Two-Handed Backhand",Marin Cilic,196,http://www.atpworldtour.com/en/players/marin-cilic/c977/overview,CRO,198,1988.09.28,12,12,"Monte-Carlo, Monaco",25,2680
"Rocourt, Belgium","Right-Handed, Two-Handed Backhand",David Goffin,150,http://www.atpworldtour.com/en/players/david-goffin/gb88/overview,BEL,180,1990.12.07,13,13,"Liège, Belgium",24,2605
"Paris, France","Right-Handed, Two-Handed Backhand",Gael Monfils,177,http://www.atpworldtour.com/en/players/gael-monfils/mc65/overview,FRA,193,1986.09.01,14,14,Switzerland,19,2460
"Wiener Neustadt, Austria","Right-Handed, One-Handed Backhand",Dominic Thiem,180,http://www.atpworldtour.com/en/players/dominic-thiem/tb69/overview,AUT,185,1993.09.03,15,15,"Lichtenwörth, Austria",29,2420
"Greensboro, North Carolina, US","Right-Handed, Two-Handed Backhand",John Isner,238,http://www.atpworldtour.com/en/players/john-isner/i186/overview,USA,208,1985.04.26,16,16,"Tampa, Florida, USA",24,2235
"Castellón de la Plana, Spain","Right-Handed, Two-Handed Backhand",Roberto Bautista Agut,168,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,183,1988.04.14,17,17,"Castellón de la Plana, Spain",28,2015
"Nice, France","Right-Handed, Two-Handed Backhand",Gilles Simon,154,http://www.atpworldtour.com/en/players/gilles-simon/sd32/overview,FRA,183,1984.12.27,18,18,"Neuchâtel, Switzerland",23,1900
"Johannesburg, South Africa","Right-Handed, Two-Handed Backhand",Kevin Anderson,197,http://www.atpworldtour.com/en/players/kevin-anderson/a678/overview,RSA,203,1986.05.18,19,19,"Gulf Stream, Florida, USA",21,1840
"Canberra, Australia","Right-Handed, Two-Handed Backhand",Nick Kyrgios,187,http://www.atpworldtour.com/en/players/nick-kyrgios/ke17/overview,AUS,193,1995.04.27,20,20,"Canberra, Australia",20,1765
"Avignon, France","Right-Handed, Two-Handed Backhand",Benoit Paire,176,http://www.atpworldtour.com/en/players/benoit-paire/pd31/overview,FRA,196,1989.05.08,21,22,"Geneva, Switzerland",32,1751
"Stuttgart, Germany","Right-Handed, Two-Handed Backhand",Bernard Tomic,201,http://www.atpworldtour.com/en/players/bernard-tomic/ta46/overview,AUS,196,1992.10.21,22,21,"Monte-Carlo, Monaco",29,1625
"Toledo, Spain","Left-Handed, One-Handed Backhand",Feliciano Lopez,187,http://www.atpworldtour.com/en/players/feliciano-lopez/l397/overview,ESP,188,1981.09.20,23,23,"Madrid, Spain",28,1585
"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Viktor Troicki,189,http://www.atpworldtour.com/en/players/viktor-troicki/t840/overview,SRB,193,1986.02.10,24,24,"Belgrade, Serbia",30,1580
"Concordia, Argentina","Right-Handed, One-Handed Backhand",Pablo Cuevas,176,http://www.atpworldtour.com/en/players/pablo-cuevas/c882/overview,URU,180,1986.01.01,25,25,"Salto, Uruguay",28,1510
"Lincoln, Nebraska, USA","Right-Handed, Two-Handed Backhand",Jack Sock,185,http://www.atpworldtour.com/en/players/jack-sock/sm25/overview,USA,191,1992.09.24,26,26,"Kansas City, Kansas, USA",23,1425
"Augsburg, Germany","Right-Handed, One-Handed Backhand",Philipp Kohlschreiber,154,http://www.atpworldtour.com/en/players/philipp-kohlschreiber/k435/overview,GER,178,1983.10.16,27,27,"Kitzbühel, Austria",25,1420
"Kiev, Ukraine","Right-Handed, Two-Handed Backhand",Alexandr Dolgopolov,157,http://www.atpworldtour.com/en/players/alexandr-dolgopolov/d801/overview,UKR,180,1988.11.07,28,30,"Monte-Carlo, Monaco",26,1330
"Haskovo, Bulgaria","Right-Handed, One-Handed Backhand",Grigor Dimitrov,176,http://www.atpworldtour.com/en/players/grigor-dimitrov/d875/overview,BUL,191,1991.05.16,29,28,"Monte-Carlo, Monaco",24,1295
"Sanremo, Italy","Right-Handed, Two-Handed Backhand",Fabio Fognini,163,http://www.atpworldtour.com/en/players/fabio-fognini/f510/overview,ITA,178,1987.05.24,30,31,"Arma di Taggia, Italy",25,1240
"Zagreb, Croatia","Right-Handed, One-Handed Backhand",Ivo Karlovic,230,http://www.atpworldtour.com/en/players/ivo-karlovic/k336/overview,CRO,211,1979.02.28,31,29,"Miami, Florida, USA/Grand Baha",23,1235
"Orange, California","Right-Handed, Two-Handed Backhand",Steve Johnson,190,http://www.atpworldtour.com/en/players/steve-johnson/j386/overview,USA,188,1989.12.24,32,32,"Redondo Beach, California",28,1225
"Pau, France","Right-Handed, Two-Handed Backhand",Jeremy Chardy,165,http://www.atpworldtour.com/en/players/jeremy-chardy/ca12/overview,FRA,188,1987.02.12,33,33,"Liège, Belgium",27,1220
"Guimaraes, Portugal","Right-Handed, Two-Handed Backhand",Joao Sousa,161,http://www.atpworldtour.com/en/players/joao-sousa/sh90/overview,POR,185,1989.03.30,34,34,"Barcelona, Spain",32,1181
"Tiete, Brazil","Left-Handed, Two-Handed Backhand",Thomaz Bellucci,181,http://www.atpworldtour.com/en/players/thomaz-bellucci/bd20/overview,BRA,188,1987.12.30,35,35,"São Paulo, Brazil",30,1165
"Azul, Argentina","Left-Handed, Two-Handed Backhand",Federico Delbonis,194,http://www.atpworldtour.com/en/players/federico-delbonis/d874/overview,ARG,191,1990.10.05,36,40,"Azul, Argentina",27,1140
"San Francisco, CA, USA","Right-Handed, Two-Handed Backhand",Sam Querrey,210,http://www.atpworldtour.com/en/players/sam-querrey/q927/overview,USA,198,1987.10.07,37,38,"Santa Monica, CA, USA",24,1090
"Limassol, Cyprus","Right-Handed, Two-Handed Backhand",Marcos Baghdatis,181,http://www.atpworldtour.com/en/players/marcos-baghdatis/b837/overview,CYP,178,1985.06.17,38,39,"Limassol, Cyprus",21,1057
"Tula, Russia","Right-Handed, Two-Handed Backhand",Andrey Kuznetsov,156,http://www.atpworldtour.com/en/players/andrey-kuznetsov/kb54/overview,RUS,185,1991.02.22,39,47,"Balashikha, Russia",22,1015
"Zagreb, Croatia","Right-Handed, Two-Handed Backhand",Borna Coric,174,http://www.atpworldtour.com/en/players/borna-coric/cg80/overview,CRO,185,1996.11.14,40,41,"Dubai, United Arab Emirates",30,1015
"Bolzano, Italy","Right-Handed, Two-Handed Backhand",Andreas Seppi,165,http://www.atpworldtour.com/en/players/andreas-seppi/sa93/overview,ITA,191,1984.02.21,41,42,"Caldaro, Italy",25,1005
"Luxembourg City, Luxembourg","Left-Handed, Two-Handed Backhand",Gilles Muller,194,http://www.atpworldtour.com/en/players/gilles-muller/ma30/overview,LUX,193,1983.05.09,42,43,"Leudelange, Luxembourg",26,985
"Bahia Blanca, Argentina","Left-Handed, Two-Handed Backhand",Guido Pella,183,http://www.atpworldtour.com/en/players/guido-pella/pc11/overview,ARG,185,1990.05.17,43,46,"Buenos Aires, Argentina",27,984
"Bratislava, Slovak Republic","Left-Handed, Two-Handed Backhand",Martin Klizan,165,http://www.atpworldtour.com/en/players/martin-klizan/k966/overview,SVK,191,1989.07.11,44,36,"Bratislava, Slovak Republic",27,980
"Vernon, British Columbia","Right-Handed, Two-Handed Backhand",Vasek Pospisil,185,http://www.atpworldtour.com/en/players/vasek-pospisil/pd07/overview,CAN,193,1990.06.23,45,44,"Freeport, Bahamas",24,975
"Corrientes, Argentina","Right-Handed, One-Handed Backhand",Leonardo Mayer,183,http://www.atpworldtour.com/en/players/leonardo-mayer/md56/overview,ARG,191,1987.05.15,46,45,"Buenos Aires, Argentina",23,975
"La Roda (Albacete), Spain","Right-Handed, One-Handed Backhand",Guillermo Garcia-Lopez,180,http://www.atpworldtour.com/en/players/guillermo-garcia-lopez/g476/overview,ESP,188,1983.06.04,47,37,"La Roda (Albacete), Spain",28,955
"Angers, France","Right-Handed, One-Handed Backhand",Nicolas Mahut,176,http://www.atpworldtour.com/en/players/nicolas-mahut/m873/overview,FRA,191,1982.01.21,48,48,"Boulogne-Billancourt, France",23,937
"Hamburg, Germany","Right-Handed, Two-Handed Backhand",Alexander Zverev,189,http://www.atpworldtour.com/en/players/alexander-zverev/z355/overview,GER,198,1997.04.20,49,51,"Monte-Carlo, Monaco",25,920
"Gijon, Spain","Right-Handed, Two-Handed Backhand",Pablo Carreno Busta,163,http://www.atpworldtour.com/en/players/pablo-carreno-busta/cd85/overview,ESP,188,1991.07.12,50,49,"Barcelona, Spain",32,919
"Madrid, Spain","Left-Handed, Two-Handed Backhand",Fernando Verdasco,194,http://www.atpworldtour.com/en/players/fernando-verdasco/v306/overview,ESP,188,1983.11.15,51,86,"Madrid, Spain",24,900
"Rome, Italy","Right-Handed, Two-Handed Backhand",Paolo Lorenzi,169,http://www.atpworldtour.com/en/players/paolo-lorenzi/l503/overview,ITA,183,1981.12.15,52,52,"Siena, Italy",33,895
"Tbilisi, Georgia","Right-Handed, Two-Handed Backhand",Teymuraz Gabashvili,182,http://www.atpworldtour.com/en/players/teymuraz-gabashvili/g681/overview,RUS,188,1985.05.23,53,54,"Moscow, Russia",29,878
"Barcelona, Spain","Right-Handed, Two-Handed Backhand",Marcel Granollers,169,http://www.atpworldtour.com/en/players/marcel-granollers/g710/overview,ESP,191,1986.04.12,54,50,"Barcelona, Spain",32,871
"Vilnius, Lithuania","Right-Handed, Two-Handed Backhand",Ricardas Berankis,163,http://www.atpworldtour.com/en/players/ricardas-berankis/be90/overview,LTU,175,1990.06.21,55,62,"Vilnius, Lithuania",29,866
"Grande-Synthe, France","Right-Handed, Two-Handed Backhand",Lucas Pouille,179,http://www.atpworldtour.com/en/players/lucas-pouille/pf39/overview,FRA,185,1994.02.23,56,72,"Dubai, U.A.E.",24,860
"Barcelona, Spain","Left-Handed, Two-Handed Backhand",Albert Ramos-Vinolas,177,http://www.atpworldtour.com/en/players/albert-ramos-vinolas/r772/overview,ESP,188,1988.01.17,57,55,"Mataro, Spain",31,853
"Hondarribia, Guipúzcoa, Spain","Right-Handed, Two-Handed Backhand",Inigo Cervantes,172,http://www.atpworldtour.com/en/players/inigo-cervantes/ca33/overview,ESP,183,1989.11.30,58,57,"Javea, Spain",33,825
"Ljubljana, Slovenia","Right-Handed, Two-Handed Backhand",Aljaz Bedene,159,http://www.atpworldtour.com/en/players/aljaz-bedene/bh09/overview,GBR,183,1989.07.18,59,59,"London, UK",27,820
"Strasbourg, France","Right-Handed, Two-Handed Backhand",Paul-Henri Mathieu,163,http://www.atpworldtour.com/en/players/paul-henri-mathieu/m850/overview,FRA,185,1982.01.12,60,60,"Boulogne-Billancourt, France",26,801
"Kiev, Ukraine","Right-Handed, Two-Handed Backhand",Denis Kudla,165,http://www.atpworldtour.com/en/players/denis-kudla/kb09/overview,USA,180,1992.08.17,61,63,"Arlington, VA/Tampa, FL, U.S.A",27,794
"The Hague, The Netherlands","Right-Handed, Two-Handed Backhand",Robin Haase,170,http://www.atpworldtour.com/en/players/robin-haase/h756/overview,NED,191,1987.04.06,62,64,"Turnhout, Belgium",28,790
"Pribran, Czech Republic","Left-Handed, Two-Handed Backhand",Jiri Vesely,203,http://www.atpworldtour.com/en/players/jiri-vesely/v708/overview,CZE,198,1993.07.10,63,53,"Breznice, Czech Republic",30,780
"Bizerte, Tunisia","Right-Handed, Two-Handed Backhand",Malek Jaziri,177,http://www.atpworldtour.com/en/players/malek-jaziri/j267/overview,TUN,185,1984.01.20,64,76,"Tunis, Tunisia",32,779
"Brno, Czech Republic","Right-Handed, Two-Handed Backhand",Lukas Rosol,183,http://www.atpworldtour.com/en/players/lukas-rosol/r685/overview,CZE,196,1985.07.24,65,61,"Prague, Czech Republic",33,762
"Brisbane, Australia",Right-Handed,John Millman,175,http://www.atpworldtour.com/en/players/john-millman/mh30/overview,AUS,183,1989.06.14,66,65,"Brisbane, Australia",27,761
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Evgeny Donskoy,163,http://www.atpworldtour.com/en/players/evgeny-donskoy/d864/overview,RUS,185,1990.05.09,67,68,"Moscow, Russia",31,752
"Dneprodzerzhinsk, Ukraine","Right-Handed, Two-Handed Backhand",Illya Marchenko,185,http://www.atpworldtour.com/en/players/illya-marchenko/me89/overview,UKR,185,1987.09.08,68,70,"Donetsk, Ukraine",26,749
"Belgrade, Serbia","Right-Handed, One-Handed Backhand",Dusan Lajovic,172,http://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,SRB,183,1990.06.30,69,67,"Stara Pazova, Serbia",28,748
"Rancho Santa Fe, CA, U.S.A","Right-Handed, Two-Handed Backhand",Taylor Fritz,185,http://www.atpworldtour.com/en/players/taylor-fritz/fb98/overview,USA,193,1997.10.28,70,69,"Rancho Santa Fe, CA, U.S.A",19,744
"Murcia, Spain","Right-Handed, One-Handed Backhand",Nicolas Almagro,185,http://www.atpworldtour.com/en/players/nicolas-almagro/a479/overview,ESP,183,1985.08.21,71,66,"Murcia, Spain",24,739
"Hostalric, Spain","Right-Handed, One-Handed Backhand",Tommy Robredo,165,http://www.atpworldtour.com/en/players/tommy-robredo/r419/overview,ESP,180,1982.05.01,72,58,"San Cugat del Valles, Spain",17,730
"Orenburg, Russia","Right-Handed, Two-Handed Backhand",Denis Istomin,194,http://www.atpworldtour.com/en/players/denis-istomin/i165/overview,UZB,188,1986.09.07,73,73,"Tashkent, Uzbekistan",29,721
"Denver, CO, USA","Right-Handed, One-Handed Backhand",Rajeev Ram,180,http://www.atpworldtour.com/en/players/rajeev-ram/r548/overview,USA,193,1984.03.18,74,56,"Carmel, IN, USA",21,716
"Medjugorje, Bosnia-Herzegovina","Right-Handed, Two-Handed Backhand",Ivan Dodig,183,http://www.atpworldtour.com/en/players/ivan-dodig/d646/overview,CRO,183,1985.01.02,75,79,"Zagreb, Croatia",22,714
"Moscow, Russia","Right-Handed, One-Handed Backhand",Mikhail Youzhny,160,http://www.atpworldtour.com/en/players/mikhail-youzhny/y061/overview,RUS,183,1982.06.25,76,74,"Moscow, Russia",28,711
